Word,Detected
আমি,True
আমরা,True
আমাকে,True
আমাদিগকে,True
আমাদেরকে,True
আমার,True
আমাদের,True
মোর,True
মোরা,True
তুমি,True
তোমরা,True
তোমাকে,True
তোমাদিগকে,True
তোমাদেরকে,True
তোমার,True
তোমাদের,True
সে,True
তারা,True
তাহারা,True
তাকে,True
তাহাকে,True
আপনি,True
আপনারা,True
আপনাকে,True
আপনার,True
আপনাদের,True
তিনি,True
তাঁরা,True
তাঁহারা,True
তাঁদের,True
তাঁহাদের,True
তাঁহাদিগকে,True
তাঁদেরকে,True
তাঁহাদেরকে,True
তাঁহাকে,True
তাঁকে,True
ইনি,True
এঁর,True
এঁরা,True
ইহাদের,True
ইহাদেরকে,True
ইহাকে,True
এঁকে,True
উনি,True
এরা,True
এঁদের,True
এদেরকে,True
ইহা,True
ইহারা,True
এই,True
এ,True
এরা,True
উঁহা,True
উঁহারা,True
ওরা,True
ওদের,True
আমি,True
আমরা,True
আমাকে,True
তুমি,True
তোমরা,True
তোমাকে,True
সে,True
তারা,True
তাহারা,True
তাকে,True
তাহাকে,True
তোমাদিগকে,True
তোমার,True
আমাদিগকে,True
আমার,True
আমাদের,True
তোমাদের,True
মোর,True
মোরা,True
আপনি,True
আপনারা,True
আপনাকে,True
আপনার,True
আপনাদের,True
তিনি,True
তাঁরা,True
তাঁহারা,True
তাঁদের,True
তাঁহাদের,True
তাঁহাদিগকে,True
তাঁদেরকে,True
তাঁহাকে,True
তাঁকে,True
ইনি,True
এঁর,True
এঁরা,True
ইহাদের,True
এঁদের,True
ইহাকে,True
এঁকে,True
উনি,True
ওঁর,True
ওঁরা,True
ওঁদের,True
ইহা,True
ইহারা,True
এই,True
এ,True
এরা,True
উহা,True
উহারা,True
ও,True
ওরা,True
ওদের,True
তুই,True
আপনা,True
তোমা,True
তো,True
সে,True
তিনি,True
তাঁহা,True
তাঁ,True
তাহা,True
তা,True
যে,True
যিনি,True
যাঁহা,True
যাঁ,True
যাহা,True
যা,True
ইনি,True
ইহা,True
এ,True
উনি,True
উহা,True
উহা,True
ওঁ,True
উহা,True
কে,False
কি,False
কী,False
কে,False
কি,False
কী,False
কাহা,False
কা,False
