বাংলাদেশ,ের,10,2
প্রশাসনিকভাব,ে,13,1
এ,টি,3,2
বিভাগ,ের,7,2
ভৌগোলিকভাব,ে,11,1
এ,টি,3,2
বাংলাদেশ,ের,10,2
মধ্যভাগ,ে,8,1
তীর,ে,4,1
এক,টি,4,2
অঞ্চল,ে,6,1
মুম্বাইয়,ের,11,2
পর,ে,3,1
ভৌগোলিকভাব,ে,11,1
এক,টি,4,2
মেগাসি,টি,8,2
কো,টি,4,2
দেশ,ের,5,2
বিচার,ে,6,1
বিশ্ব,ের,7,2
জনঘনত্ব,ের,9,2
বিচার,ে,6,1
বিশ্ব,ের,7,2
সবচেয়,ে,7,1
বর্গকিলোমি,টার,13,3
আয়তন,ের,7,2
এ,ই,2,1
শহর,ে,4,1
বর্গকিলোমি,টার,13,3
কর,ে,3,1
মসজি,দের,7,3
নামে,ও,5,1
এখান,ে,5,1
হাজারের,ও,8,1
আছ,ে,3,1
ম,তে,3,2
এ,ই,2,1
শহর,ে,4,1
কর,ে,3,1
বর্তমান,ে,8,1
শহর,ের,5,2
মাস,ে,4,1
মাস,ে,4,1
ম,ে,2,1
থে,কে,4,2
এ,ই,2,1
অঞ্চল,ে,6,1
মাস,ে,4,1
গড়,ে,4,1
মিলিমিটার,ের,11,2
শতাব্দী,তে,9,2
সাম্রাজ্য,ের,11,2
জাহাঙ্গীর,ের,11,2
শাসনামল,ে,8,1
এ,ই,2,1
নাম,ে,4,1
বাণিজ্য,ের,9,2
এক,টি,4,2
বিশ্ব,ের,7,2
থে,কে,4,2
এখান,ে,5,1
বাণিজ্য,ের,9,2
উদ্দেশ্য,ে,9,1
ঢাকা,তে,6,2
বিশ্ব,ের,7,2
স,েরা,4,3
যদি,ও,4,1
শহর,ের,5,2
ঘট,ে,3,1
শতাব্দী,তে,9,2
আমল,ে,4,1
এ,ই,2,1
এ,ই,2,1
পরে,ই,4,1
হয়,ে,4,1
ওঠ,ে,3,1
সাল,ের,5,2
বঙ্গভঙ্গ,ের,10,2
পর,ে,3,1
প্রদেশ,ের,8,2
সাল,ে,4,1
বিভাগ,ের,7,2
পর,ে,3,1
পাকিস্তান,ের,11,2
রাজধানী,তে,9,2
সাল,ের,5,2
মধ্য,ে,5,1
এ,ই,2,1
আন্দোলন,ের,9,2
হয়,ে,4,1
ওঠ,ে,3,1
সাল,ে,4,1
রাষ্ট্র,ের,9,2
ইতঃপূর্ব,ে,9,1
বাংলাদেশ,ের,10,2
বিপর্যয়,ের,10,2
এ,ই,2,1
বাংলাদেশ,ের,10,2
সংবিধান,ের,9,2
বাংলাদেশ,ের,10,2
ঢাকা,কে,6,2
বাংলাদেশ,ের,10,2
জীবন,ের,6,2
হিসেব,ে,6,1
কর,ে,3,1
এ,টির,4,3
স্থান,গুলো,9,4
লালবাগ,ের,8,2
এ,ই,2,1
শহর,ের,5,2
বিশ্ব,ের,7,2
মধ্য,ে,5,1
হলে,ও,4,1
মানুষ,ের,7,2
আধিক্য,ের,8,2
কারণ,ে,5,1
উন্নয়ন,ে,8,1
দশকগুলি,তে,9,2
য,ে,2,1
হয়েছ,ে,6,1
বিশেষভাব,ে,9,1
বর্তমান,ে,8,1
এ,ই,2,1
টান,তে,5,2
ব্যবসাবাণিজ্য,ের,15,2
বাড়া,তে,7,2
হয়েছ,ে,6,1
থে,কে,4,2
সন্ধান,ে,7,1
কারণ,ে,5,1
হয়,ে,4,1
উঠেছ,ে,5,1
বিশ্ব,ের,7,2
এ,ই,2,1
বাস্তবায়ন,ে,11,1
করছ,ে,4,1
